"speaker","cleaned_text"
"teacher","last week we did multiplication of ready last week we did multiplication of two digit numbers by one digit numbers today we re going to do two sets of math we re going to review what we did last week by doing works on multiplying two digit number by one digit number we are also going to look at what we are doing this week which says how far is a mile this is what you ve been doing this week looking at what we have so far 75 times 8 can somebody volunteer to solve this math for me"
"student","i will teacher i will please"
"teacher","student t"
"student","thank you"
"student","so i know what 75 times 2 is right everybody know that just add 100 am i right"
"student","no"
"teacher","are you sure"
"student","yes i m sure"
"student","no"
"student","who s saying no"
"student","me"
"student","anybody else"
"teacher","okay let s look at how you got let s look at how you got 175 by multiplying can we not call out please"
"student","inaudible"
"teacher","seventy five times two what is it is it let student x help you sit down"
"teacher","sit down sit down please"
"student","i m doing student t s number 75 times 2 nobody knows that just figure it out it s two four six eight two times five"
"student","teacher you re blocking him"
"teacher","oh i m sorry"
"student","since nobody knows that number let s do 75 75 14 13 and that will give you 130"
"teacher","are you saying that 7 plus 7 is 10"
"student","it 150"
"student","i said five plus five"
"teacher","is 10 i agree"
"student","seven plus seven equals fourteen"
"student","fourteen fifteen one fifty don t laugh 150 so then it will give you 150 and then we know that two times four equals eight eight so we got to do that"
"student","inaudible"
"teacher","which other way can we do that instead of doing that allow him let him do his work"
"student","look like ss and zs look like ss and zs"
"teacher","let s look at what you did here he said he knows that he can do his multiples of two easily and he knows that 75 times 2 is 150 and this is the way he can get it easily he said there are four look at what he did here two times four so there are four sets of two in eight so what he s going to do is break this number in a way that he can do it he says 75 times 2 is 150 75 times 2 is 150 75 times 2 is 150 up to four places then he added it and got 600 is it a very good strategy"
"student","yes"
"teacher","yes it s a very good strategy because he started with what he knew and he attempted to solve what he didn t know i agree this is good can somebody else solve this math in a different way you may student j"
"student","can i go after he goes back"
"teacher","yes student c sit down please"
"student","is that the answer"
"teacher","don t erase do it here"
"student","ain t the answer 240"
"teacher","no it s 600"
"teacher","this is another strategy i love what he did too he said i know that 75 times 4 plus 75 times 4 is the same thing as 75 times 8 so what he did here was to do and he got 75 times 4 and he knows is 300 75 times 4 he knows is 300 then he added the top and he got his 600 excellent now this is one way to solve this math two ways we can use to solve this math let s look at what we have also can somebody read this for me and tell me what i need to do"
"teacher","what"
"student","number of miles so far 632 miles the goal 1 000 miles how many more miles"
"teacher","what operation do we need to solve this math can somebody change this into a story problem"
"student","i can"
"teacher","yes tell me"
"student","number of miles"
"teacher","change this into a story problem"
"student","you want me to change all of it"
"teacher","yes into a story problem change it from here to here"
"student","okay there are wait up wait actually me and my family drove"
"teacher","my family"
"student","i said me and my family"
"teacher","and i"
"student","and i drove 632 miles"
"teacher","my family and i drove"
"student","up to 632 miles"
"teacher","632 miles"
"student","in order to get to 1 000 miles how many more miles do we need to go"
"teacher","we need to get"
"student","to a thousand"
"teacher","to our"
"teacher","my family and i drove 632 miles we need to get to our destination by driving driving what by driving up"
"student","one thousand miles"
"teacher","driving up to 1 000 miles or we could say my family and i have driven"
"student","i said driven you wrote drove"
"teacher","have driven thank you i wrote what you said my family and i have driven 632 miles we need to get to our destination by driving up to 1 000 miles how many more miles excellent excellent what do we need to do to solve this math what operation do we need"
"student","minus"
"teacher","student c said minus student c can you help us to solve this math please"
"student","i said plus"
"teacher","do it here please"
"student","did you hear student j"
"teacher","huh"
"student","inaudible"
"teacher","no not yet"
"student","nine hundred"
"teacher","no continue what you re doing please student j sit down student j sit down everybody look at the board and see what he s doing where d you get seven from"
"student","can i help you bro"
"teacher","no sit down he s trying sit down thank you is this answer right"
"student","no"
"teacher","student c can you help us please"
"student","can i do it i want to do it"
"teacher","you ve done one let him do it"
"student","no if he gets it wrong can i do it"
"teacher","you may not use this way you may use another way to solve this math"
"student","oh yeah that was the answer i wrote"
"student","why are you writing so sloppy"
"teacher","so what is your answer"
"student","three sixty eight"
"teacher","good job this is another strategy student c used i m gonna rewrite what he wrote here so that everybody can see student c is saying that 632 and he knows that if he adds 68 to this it s going to land him at 700 student c said okay i know that i am already at 700 student s can you look here at me please he s using addition strategy he knows when he adds 68 to 32 that is going to be 100 and that will make him to have 700 so now he has a hundred he is looking for what will add to 700 to get 1 000 student c said here and said 700 plus 300 it was 1 000 then i asked him what do you think is your answer was able to add the 68 he added and the 300 he added to get himself to saying 300 plus 68 he said was 368 which is the answer i agree let s try using number line to solve this math"
"student","can i do it teacher"
"teacher","sure let s try using number line eraser down i want to correct student c student c you were right to some extent here but you got confused i am going to erase this little one so that i can write it boldly where you will see it"
"student","are we supposed to right this down somewhere"
"teacher","we re going to use it as example for the math you are going to do we re going to solve this math here by saying from what student c said he said 1 000 take away 632 and what do i do to solve this math yes student j"
"student","solve it"
"teacher","huh"
"student","take away"
"teacher","we know you take away but look at what you have here are we going to take away two from zero"
"student","no"
"teacher","what do we do"
"student","you borrow the one"
"teacher","we borrow the one this one is what"
"student","zero"
"teacher","what is this one"
"student","a ten"
"teacher","is this one a 10"
"student","i mean one"
"student","it s a zero"
"student","twelve"
"teacher","let s look at what a thousand is"
"student","three"
"teacher","a thousand means no ones student b sit down no ones no tens no hundreds one thousand that s what it means and 1 000 is what what is 1 000"
"student","ten thousand"
"student","ten hundreds"
"teacher","ten hundred ten hundred is one thousand so if we take this 1 000 we re taking 10 hundreds we re taking 10 hundreds that s what it means and we re going to make this one here we have 10 hundreds so on that tens column if we put here and make this 10 this 10 means 10 hundreds so if we take one one 10"
"student","it will be nine"
"teacher","nine it s going to be"
"student","and the next one becomes a 10"
"teacher","this is going to be a 900 so this is 10 this time we re taking from here this one 10 we re taking from here now we re going to put it in the tens column and the tens column here is going to be 10 this is 10"
"student","that looks like 110 kind of doesn t it"
"teacher","it s not"
"student","can you put an x on the circle"
"teacher","no we re not going to put x on the circle we re just going to leave it 10 one we borrowed from there is one 10 which is this if we take another one from this one 10 and put it in the ones column it s going to be 10 ones student c look here ten ones and ten ones is the same thing as one 10 so this can enable us now to solve student c look here this is where your confusion was now we have 10 here ten take away two is going to be what"
"student","eight"
"teacher","eight that s how you got the eight you got and here we have 9 tens this 9 tens is the same thing as what"
"student","six"
"teacher","nine tens is the same as what"
"student","nine hundred"
"student","ninety"
"teacher","ninety now 90 take away 30 is going to be what"
"student","six"
"teacher","mm hmm 60 so because it under the tens column we write 60 because we know that this 6 here is 60 now we have nine what is the value of this nine here"
"student","nine hundred"
"teacher","nine hundred student m sit up nine hundred take away six hundred what we have left"
"multiple students","three hundred"
"teacher","three hundred so we have this this is exactly what you were doing before what you were trying to do and i will use another way to solve this math we ve used the addition we ve used the subtraction the traditional algorithm now we re gonna use another way to solve this math"
"student","inaudible"
"teacher","let s look at the number line here the family has traveled from here is the zero which is the beginning point of where they traveled they have traveled all the way down here to 632 looking at what student c did look at what student c did here he wanted to form a landmark that would be easy for him what can i add to 632 to get to 700"
"student","wait you said that jump to big to 100"
"teacher","that is what they have already traveled"
"student","still it s too big"
"student","sixty eight"
"teacher","sixty eight because they added this 68 to their journey where are they gonna land"
"student","seven hundred"
"teacher","seven hundred"
"student","do we copy this"
"teacher","now their journey is going to end here at 1 000"
"student","add 300"
"student","add 300"
"teacher","i can add 300 making a very big jump of 300 or i can start adding this would give me now to i add up this and this it will give me 368 but i can if i do not know what to do i can add another from here to here i said 800 which would give me 100 here i add another one here which would give me 900 by adding another 100 here then i can add the rest here separating this"
"student","okay teacher we get it"
"teacher","to this to this to this adding another 100 which if i say 100 plus 100 plus 100 is this 300 plus 68 does anybody that is confused now"
"student","no"
"student","no we get it"
"teacher","just asking any person"
"student","we good"
"teacher","thank you is there anybody that has not got a paper"
"student","student j"
"teacher","you need a pencil what s the problem sit here you want to work with me let s work with me come on come on work with me come on work with me here student a come on excuse me mind your own business nobody is coming to you sit down excuse me make a change for student a i told him to make change for you"
"student","what d you say"
"teacher","let s make change for you"
"student","have him make what"
"teacher","make change yes let s look at you dear let s look at this first we re going to do 57 times 5 which number are we breaking here you want to break 57 okay break it how you want it let s look what are you going to do here huh"
"student","inaudible"
"teacher","what s the problem let s write this what are we going to break"
"student","oh 21"
"teacher","twenty seven into"
"student","two"
"teacher","break into two"
"student","hundreds"
"teacher","into 20 times five plus seven times five student t i would advise you to follow this group so you know where we are it doesn t call for that please so what is 20 times 5"
"student","one hundred"
"teacher","it s times let s start with this"
"student","by 60"
"teacher","no count by 20 it s like you re counting by twos"
"student","what do you think i m doing"
"student","you said 5 20 30 40 50"
"student","no i didn t"
"teacher","no i was the one that said 20 let s count by 20 it s like counting by twos 20 40"
"student","sixty"
"teacher","sixty"
"student","eighty"
"teacher","eighty"
"student","a hundred"
"teacher","a hundred so 20 times 5 is what"
"student","a hundred"
"teacher","write that in a hundred okay what is seven times five"
"student","thirty five"
"teacher","write it down now add it up together write it where you have write it here excellent now let s do number two"
"student","oh i get it i get it like 40 times 4 and then plus 3 times 5"
"teacher","three times four"
"student","oh three times four"
"teacher","excellent put it in here honey so i want you to do this now by yourself if you do not know you can now you can break it in two i know you know how to break four into two plus two so in that case you re going to do 33 times 2 two plus thirty three times what do you add to two to get four"
"student","two"
"teacher","two so it s going to be 33 times 2 two to so you know how to do it you can do 33 plus 33 then continue where are you you did i don t get what you did here this is not correct you need help"
"student","do 40 until you get to 100"
"teacher","come over here and let me help you so we re going to you know what to do keep going"
"student","i don t know what to do"
"teacher","you know what to do any number you multiply by zero is what"
"student","forty times four equals"
"teacher","what"
"student","the numbers of zero is zero"
"teacher","yes do your own here do your own start with 33 plus 33 it s the same things as 33 times 2 so start using it"
"student","eight plus eight is sixteen"
"teacher","yes thirty three times two mm hmm"
"student","inaudible"
"teacher","two times three"
"student","two times"
"teacher","three excellent"
"student","inaudible"
"teacher","yeah i agree"
"student","that s what i did"
"teacher","so we re going to do two times four so what is two times four let s count counting to 10 okay now you re going to double this to get the answer 56 plus 56"
"student","i don t get this one do it backwards"
"teacher","this is not 60 it s 29 times 6 twenty nine what did you get for 43 plus 43"
"student","forty three plus forty three"
"teacher","yes three plus three is what four plus four twenty nine times six is the same thing as twenty nine times six six times twenty nine is the same thing as twenty nine times six so break it it does not matter you still have space to work okay you re doing a great job"
"student","inaudible"
"teacher","how did we practice how do we break this honey let s look here what do we have here talk to me we would break this into 20 times what"
"student","six"
"teacher","that s right"
"student","no 86"
"student","shut up"
"teacher","plus nine times six that s it"
"teacher","excellent what did you get here"
"student","fifty and sixty"
"teacher","what is here"
"student","five four"
"teacher","put your plus sign"
"student","no i don t know"
"teacher","now add it up"
"teacher","i like what you did here let me see"
"student","he just copied that"
"teacher","no he didn t copy you"
"student","shut up"
