"speaker","cleaned_text"
"teacher","okay now today s focus on our lesson boys and girls is going to be on if you look at our goal it s written on the board and please do that right now and you should be turning to page 1 in your workbook is we re going to describe three dimensional solids using their attributes or properties now that s a big word student s attributes or properties but i ll break it down for you sit down okay you re not doing that right now please so basically what we re going to be doing is you re going to be describing these shapes to other people so what you re going to do and you re gonna be in a group and you re gonna get a bag and in this bag are all these"
"student","little cubes"
"teacher","the people that can t control themselves will get checks for their behavior look at the solids that are on your paper everyone take a look at them right now how many of you remember working with these solids from third grade okay so some of you had these solids in third grade now in this bag are all the solids that are on your paper and this is our activity today so we want to be able to describe these solids but for right now we re not gonna use these names so if i say this is called if you see this on your paper can someone tell me what it s called on your paper oh good hands up student t"
"student","inaudible"
"teacher","okay you have to a rectangular prism now"
"multiple students","square prism it s a square prism square prism shhh"
"teacher","thank you for those of you that didn t make comments if you have to disagree with that then you can raise your hand and tell us you disagree and why student t"
"student","i disagree because the rectangular prism is like kind of a square and the square prism is just like that"
"teacher","so we re gonna talk a little bit about more why this is called a square prism and the other one s called a rectangular prism technically you could call this a rectangular prism because a square is a rectangle but we re gonna we re not gonna worry about the names student k it s not gonna help you if you just remember names of 3 d shapes it s really not gonna help you what s gonna help you to start to understand the characteristics of them what how can we describe them so like student t started to say this one looks rectangular or this one has a square so what you re going to do is you re gonna be in a group either of three or four one person s gonna get the bag"
"student","me"
"teacher","please please please listen to the directions one person will have a bag one person will have a piece of paper and the two other people are gonna be guessers"
"student","i ll guess"
"student","thought we played this last year"
"teacher","so we re gonna model this yes you probably did play it last year i don t remember playing it last year so we ll pretend that i m in students j and a s i ll wait till everyone knows what we re doing let s pretend student l is gonna get the paper first you two are gonna be my guessers you and you okay i m the person with the bag i reach my hand here i do not pull out a shape i take the shape in my hand and i start to feel around and i want to start describing it the words i use to describe it student l describes he s gonna write down those words students j and a have their paper in front of them they re gonna try and guess using the paper they have in front of them okay so ready i m gonna start student l he s reporting his pencil s out he s not guessing these two are guessing it feels flat he s writing it down wait not yet i m gonna inaudible it has one two it has eight points eight corners it has six spaces i think there s some squares on it"
"student","rectangular prism probably"
"student","this is gonna be a inaudible"
"teacher","what do you guys think"
"student","square"
"teacher","okay okay now i m gonna pull it out i ve given four examples four things i pull it out and it s"
"student","i said inaudible"
"teacher","now what happens now what happens next what happens next is i pass this we go in a clockwise i pass the bag to student l student l passes the paper to student j student a is still a guesser i m a guesser now go ahead"
"student","it feels funny"
"teacher","okay pick one pick one"
"student","it feels kind of round"
"teacher","it feels round on the side okay so i m looking here i m thinking which ones look round okay shhh"
"student","it s probably inaudible"
"teacher","it does okay you need to be writing this down it feels round it doesn t have any points okay shhh shhh shhh"
"student","inaudible two faces"
"teacher","you think there s two faces so student a you think you ve got inaudible"
"student","inaudible"
"teacher","said it has two faces"
"student","a cylinder"
"teacher","okay before i pull it out i want to make sure everyone hears student a go ahead what do you say"
"student","cylinder"
"teacher","so i m gonna pull it out and let s see okay so it s the cylinder"
"student","inaudible still in there she put that inaudible"
"student","you like superman right"
"teacher","no you can put it back in because someone might describe it in a different way now what would happen next who can tell me what would happen"
"student","pass the bag"
"teacher","tell me what would happen someone raise their hand student s"
"student","you pass the bag to the next person"
"teacher","and then what does the notetaker get"
"student","next person"
"teacher","next person so okay you guys get how it works"
"multiple students","yes"
"teacher","okay so we re gonna stop and we re gonna work in groups i m waiting to show me respect student t is waiting patiently what you should do i ll clarify but i m gonna ask student t first because he had his hand up patiently yes student t"
"student","why are there like two cylinders"
"teacher","they have two different examples"
"student","was that one inaudible"
"teacher","okay student l at we re gonna start working again yes"
"student","may i get a drink of water"
"teacher","no when we start working student l what s your question"
"student","i want to guess right away"
"teacher","okay it s not about you guessing right away it s about you and the person who s guessing with you cause there s two people guessing or sometimes just gonna be one you re thinking about it you should have three or four descriptions written down before you guess"
"student","last year or something i thought inaudible like the two inaudible or something"
"student","yeah it is"
"teacher","nope they re not officially inaudible you might ve seen a fat one on the video but we don t describe shapes that way all right now"
"student","you re fat you re skinny"
"teacher","before we start before we start i want to go back to our goal our goals of today are not just to play a game our goals of today are to begin to understand what the attributes or properties of of these different shapes so obviously if we think about what student l just described the cylinder the cylinder has different properties it is rounded it is not flat that s a different property than the rectangular prism so your brain is starting to classify these in different ways some of you may remember that on the test yesterday that you took the predictive test there was a question on there that said what is true about a cube and it said it had like six faces or sides"
"student","oh yeah yeah yeah"
"teacher","those are the things that you need to start putting up here in your head all right so i m gonna tell you what group you re in most of you are gonna be staying in your seats and then one group may be going back to the table okay now i will say your name the first name i say in the group is gonna be the one who starts with the shapes the second name i say in the group is gonna be the person who is the notetaker and the third and fourth name are gonna be the guessers and then it will rotate so let s see if as a class we can control ourselves enough so that we can actually do this let s see if as a class we can control ourselves i can actually go through all of this and do this without you having a breakdown cause that s what happens sometimes"
"teacher","calling students names in groups sorry all right in the middle table calling students names in groups so you only have one guesser to start at the other table calling students names in groups you can move yourself over a little more you re moving right staying right here"
"multiple students","inaudible"
"teacher","we re gonna come back to that table calling students names in groups you re together it doesn t matter see if you know what to do right now all right the people that are talking still are getting checks you know the rule you re three and you look at me thank you student c now i m giving you a time limit remember you should be describing these shapes writing them down thinking about what you know okay go ahead and start"
"multiple students","inaudible"
"teacher","you want to guess don t yell at each other please have patience"
"multiple students","inaudible"
"student","a cone it s a cone"
"teacher","inaudible"
"student","you know what inaudible eight eight corner inaudible"
"teacher","inaudible three points"
"student","inaudible looking at the paper you re not supposed to be looking at it"
"student","inaudible guessing again"
"multiple students","inaudible"
"student","anybody know what this is"
"teacher","inaudible you had two times as a guesser okay keep going"
"multiple students","inaudible"
"teacher","octagon okay what did you say inaudible say about each one"
"multiple students","inaudible"
"teacher","okay she said octagon or prism what do you think of that let s pull it out and see cause i m a little confused myself"
"multiple students","inaudible"
"teacher","student h let me see what you have oh it s two faces okay that was probably a little confusing okay well we know for next time go ahead which way are we going"
"student","this way"
"teacher","do not inaudible stop yelling in front of them inaudible"
"multiple students","inaudible"
"teacher","yes or no inaudible and not yell and scream they won t respond to you inaudible you understand"
"multiple students","inaudible"
"teacher","student c you re a guesser get over here you too you re a reporter now"
"student","i don t know"
"teacher","okay go ahead"
"multiple students","inaudible"
"teacher","turn around"
"multiple students","inaudible"
"student","both sides"
"multiple students","inaudible"
"student","this one is the inaudible"
"student","i know what it is"
"multiple students","inaudible"
"student","take it out take it out"
"multiple students","inaudible"
"student","i was listening to him"
"student","inaudible five faces"
"student","it s the inaudible"
"student","she said it has inaudible five inaudible"
"teacher","you have to wait until the person s describing it one point one face"
"multiple students","inaudible"
"teacher","inaudible thank you student c thank you student j thank you student l hey you know what i m very proud of those of you who were working i m very proud of the people who were working but our volume became too loud so inaudible ms j s class inaudible people are getting checked if they re not doing exactly what they re supposed to do right now you re supposed to be looking at me you re not moving around you re not touching the solids ms j s class is inaudible so i should be able to talk like this and student o should be able to hear me right there when you re talking in your groups you should talk quietly we re gonna spend five more minutes and we re gonna discuss some of the things we learned about properties and shapes and then we re gonna go back and we re gonna do some more"
"student","i m gonna guess again"
"multiple students","inaudible"
"teacher","inaudible sides so student r you understand what the inaudible are inaudible can you describe these parts at all these parts at all"
"multiple students","inaudible"
"student","they feel really really hard"
"teacher","okay these are all hard okay"
"student","yeah"
"multiple students","inaudible"
"student","inaudible had those wide things where inaudible"
"teacher","all right did you use the word vertex yeah i like that word that s a word i want to share four vertices"
"student","inaudible even describing it are those four inaudible"
"teacher","okay four lines okay write that down"
"multiple students","inaudible"
"student","and inaudible the end of the day"
"teacher","inaudible because she said four faces four vertices four lines"
"student","inaudible prism inaudible"
"multiple students","inaudible"
"teacher","inaudible so remember it has inaudible because she did say how many vertices does it have"
"student","inaudible"
"teacher","and we re gonna talk about inaudible some words inaudible okay let s move it around"
"multiple students","inaudible"
"student","hey you can t look in the bag inaudible the bag that has the inaudible"
"multiple students","inaudible"
"student","five faces"
"teacher","inaudible"
"student","i don t know if there is inaudible"
"multiple students","inaudible"
"student","it s a triangle"
"multiple students","inaudible"
"student","inaudible everyone you didn t want me to inaudible"
"multiple students","inaudible"
"teacher","all right quietly let s see what group did quietly we re not finished you re gonna finish up with this activity in the class but right now we re gonna pause and find out what we ve been learning so we can do a better job describing them for the next round so i m gonna count to ten now and see if you can come back to your seats quietly all materials should be in the bag on your desk in the bag on top of your desk right ten nine eight seven"
"multiple students","inaudible"
"teacher","quietly six right here in the center five four three two one and let s see who has done it the bag should be on the desk why don t you put on that desk right there no student s no one should be touching the bag no one should have any solids"
"student","what we re not fighting"
"teacher","now student t i gave you directions no one should be touching the bags and no one should have any solids now let s shhhh some of you get lost in the activity sometimes and you forget that you re supposed to be learning things i had a lot of good put these away and you re supposed to have your eyes up here your books should be open to this page your book should be open to this page with the solids on it"
"student","why inaudible"
"student","cause it inaudible"
"teacher","now we have been using words what are some let s talk about some of the words that you ve been using to describe some of these solids what are some of the words that you use student o"
"student","points"
"teacher","points let s look at your paper boys and girls and look at some of the words points another word"
"student","vertices"
"teacher","vertices"
"student","inaudible"
"teacher","student d corners student a"
"student","edges"
"teacher","edges student j"
"student","faces"
"teacher","faces student t"
"student","lines"
"teacher","lines okay other words student d"
"student","round"
"teacher","round look at your papers do you i want to see people respecting me that means they re not doing anything else but listening looking at their papers and listening student b"
"student","faces"
"teacher","faces yeah student t"
"student","triangular faces"
"teacher","okay so we use more words like triangular faces so we re using a 2 d word to help us make sense of 3 d student l"
"student","right angle"
"teacher","triangle"
"student","i said right angle"
"teacher","right angle okay student e"
"student","octagonal faces"
"teacher","octagonal faces"
"student","why so many faces in this thing inaudible"
"student","hexagonal faces"
"teacher","i m not sure about that one student t"
"student","obtuse angles"
"teacher","you used that you used that on your paper"
"student","no i just said it"
"teacher","okay i want you to use the things that are on your paper though okay not the things that you re thinking of now things that you actually wrote down on your paper student d i ll come around hands down until i come around to you go ahead student d"
"student","surface"
"teacher","surface like how many surfaces there are student j looking at your paper"
"student","roll in your hand"
"teacher","so it rolls student t"
"student","square faces"
"teacher","square faces student t"
"student","angles little things on the angles inaudible"
"teacher","anything else one more student j"
"student","inaudible"
"teacher","okay boys and girls so in the real world we can describe things any way we want okay but in the math world there are certain attributes or properties i m gonna keep using this word because i want student l and i want student t to start thinking and saying when mr f says attributes or properties i know what he s talking about so there s certain characteristics that make certain shapes different than other shapes so what makes a square a triangle different than a rectangle what makes a triangle different than a rectangle student t"
"student","it has it s like triangular and a square is"
"teacher","what attribute makes it different what attribute what quality what characteristic what property makes a triangle different than a rectangle cause they re both polygons we did this whole unit on it but if i gave you a rectangle and i gave you a triangle what properties make them different"
"student","a triangle has only three faces"
"teacher","three what"
"student","well i meant three inaudible"
"teacher","three vertex and a rectangle has"
"student","a rectangle has six eight"
