legacy_id,legacy_file,sha256,obsid,match,collides_with_obsid,teacher_id,year,n_codeable_turns
1411,1411_original.csv,e128bf626719a731117f385106c075cac030960ffb43a483eef3d3fc7b11e96a,4430,unique,False,1411,3,279
302,302_original.csv,44a6398327edd56f5ed000a31980954a1d4e2cdd9869b3ea46a1d5ae4aa6afd6,2405,unique,True,302,2,416
303,303_original.csv,5f6338a11a1ef8ef4c5aec8ba3b95607518ab065a6a789d65c494f04ea3574f2,2253,unique,True,303,2,157
304,304_original.csv,11577bff715e62a7a3f60d38dba04d0eb4f32cd18c54b2638984872212808469,2358,unique,False,304,2,348
305,305_original.csv,36088229bddc5f4bcb401e1ae10f549f3803423f4345ba43e092bf1321d31a96,2634,unique,True,305,2,551
306,306_original.csv,ef1bd79c584364c8147e882fa31709593d359a55147c36c55ac1b594d31448ed,82,unique,True,306,1,441
307,307_original.csv,ae4dcc21a82bd34ea41dee7ddb9b3193ae627a99226b87dd5f9d8d50a8813cda,2205,unique,False,307,2,515
308,308_original.csv,117941e9309bc0289a9787400627fd1823b7b6bc3aee6144a19b8d0e1647f747,87,unique,True,308,1,308
309,309_original.csv,bc4c2a1e7df33f2a31b057763e62289f8f3056c0d85c4987021985e4b712ec0e,2204,unique,True,309,2,353
310,310_original.csv,3496bd95d48533665c241d7acf8f387d6bd68d4f2de79638231ca5526ba8a432,538,unique,True,310,1,362
312,312_original.csv,676c4af092fda6a17e7b9da153311a7fc24cab6363ca7ccecd33c688dd35cfd8,2916,unique,False,312,2,291
313,313_original.csv,3cdbd4b4a65b6bb0a4e8870fbd7bec94399d6043de9fd95d6beb269473af0566,2757,unique,True,313,2,339
314,314_original.csv,e76c98940537597555e827ca2502d302c69fcb215d43589d8281e1408da1e197,2458,unique,False,314,2,291
315,315_original.csv,ac62c2b18e269047f6983256882cddc2f81c98be79934b3e5655e90d74146df8,2197,unique,True,315,2,311
316,316_original.csv,04de3938408c130866a8ea6a918e00c785a950a2d85fed39c7eb40c627f998c4,2530,unique,False,316,2,583
318,318_original.csv,0daecce71cb42116f5d3c336a1debf5ff1c492cb11a4ed37d0e5ae0d7af3d39c,2800,unique,False,318,2,575
319,319_original.csv,247d5b1df998a0110fc920ffe841b080bbb61c1f897b57cee4d34b4f1435ca8f,535,unique,True,319,1,405
320,320_original.csv,67a140d39886a3f8341a5ec69553abbe49715581b9d8e3d83ed8ab82a90ff82b,1085,unique,False,320,1,599
321,321_original.csv,37c0cbef11b15be7ba2c5763ed2f58331485b92d79759cc8fed31638b2f33b47,39,unique,True,321,1,386
322,322_original.csv,063f648cf767a58439383133d94aa0c31221bf583d697da11de37b0c8d107fe6,47,unique,False,322,1,352
323,323_original.csv,95d84af4654011dc9286e250a62cd75f46afb47ee4cdb14173cfaf86952bfd29,199,unique,False,323,1,553
324,324_original.csv,d4d608be72791df9d80484071319cd5836f6184cb506f1edf72e47e9de58c0ab,128,unique,True,324,1,298
325,325_original.csv,9b8e558feac691e496814e35178f52959a50465ecb59265d19365a8b4915e657,2199,unique,False,325,2,284
326,326_original.csv,1e84446134eeb345a24cad6ca10995d0d6cb62dcf034562a042cb89bebf2f085,2776,unique,True,326,2,178
327,327_original.csv,1fbe2f4970583ab3ce406b9ebc6dcc510ce386bd2d241f3c8c13c862da49e76b,2987,unique,True,327,2,281
328,328_original.csv,1f5d6da3f34faae67c28ad400b1b37ed8eb12faf27c72da57dff609c18d78c8b,2928,unique,False,328,2,447
