speaker,cleaned_text
teacher,okay we are going to be doing popcorn fractions today what i want you to do first is you should have a napkin at your desk go ahead and unfold your napkin so it is completely out okay student m and student s are bringing you a bag of popcorn what we re going to do with this popcorn is have to imagine a little bit have to pretend okay now realistically when you pop a bag of popcorn you have more popcorn in your bag than this right but we re going to have to use our imaginations and pretend this is a bag of popcorn you just took out of the microwave what i want you to do is at your table pick a partner it has to be somebody sitting across from you or next to you okay so we have a partnership here here an here and my three ladies here can you be a group of three so what s going to happen is we re going to practice adding fractions with unlike denominators what i want you to do first is open up your bag of popcorn onto your napkin you may not eat it yet i promise you ll get to eat it but not yet what i d like you to do is go ahead and count how many you have i will tell you when you can eat and what you can eat nothing yet okay sometimes popcorn is kind of fragile and it breaks everyone should have 24 raise your hand if you have 24 okay raise your hand if you have more than 24 if you have more than 24 i want you to eat as many pieces as you have to so you have 24 double check and make sure you have 24 pieces so you have exactly 24 yes you just counted them you re trying to cheat and eat a piece i heard you you have 24 how many do you have student k oh my goodness come on okay 1 2 3 eyes on me
multiple students,1 2 eyes on you
teacher,seriously 1 2 3 eyes on me
multiple students,1 2 eyes on you
teacher,okay so how many pieces are there in all
multiple students,24
teacher,so what is our denominator for how many we have here
multiple students,24
teacher,because our denominator is always what how many we have in all now with your partner we re going to practice adding fractions with unlike denominators okay so what i want you to do is decide who is person a and person b in your group in my group over here one of you is going to have to sit out for this one okay so establish who is person a and person b okay person a what i would like you to do is split your popcorn into groups of 8 okay so each group should have 8 kernels in them person a you re splitting it so each person has 8 kernels in a group see how everyone else has their napkins unfolded just person a okay so my people that split them into groups of 8 you have how many groups in all three groups in all everybody see that what i want you to do is put two of those groups back into your ziploc bag okay person b i would like you to split yours so you have 6 pieces of popcorn in each group 6 in each group if you have 24 kernels you should have 6 in each group okay you did something wrong you don t have 24 kernels okay my person b if you re a b person i asked you to split it so you have 6 popcorn kernels in each group how many groups do you have
multiple students,four
teacher,i would like you to put two of those groups into your bag so you have two groups left out my a people look up here so you had how many groups in all
multiple students,three
teacher,so you had three groups and out of all the groups you had three in all and before i told you to put anything away you had 3 out of 3 on your napkin right then i asked you to what take away how many 2 so what do you have left on your napkin
multiple students,one third
teacher,you have one third left right
multiple students,yes
