speaker,cleaned_text
teacher,my hairs a mess are you kidding me
student,no i m not the thing is coming out i mean
teacher,the bunt thing thank you thank you alright excellent so i m gonna put a question for you on the board this morning and i want you to think about it i m gonna give you two minutes to think about it by yourself okay you can copy the question down are you ready okay so copy the question down think about it for a minute
teacher,you can work it out but i want you to see if you can come up with some strategies to figure this out if it s actually true okay so does 6 times 9 equal 3 times 18 some of the things i want you to think about are the relationship between both sides of the equation you have 6 times 9 on one side of the equal side you have 3 times 18 on the other side of the equal sign what s the relationship there look at the numbers how do they relate to each other i m gonna give everybody about one more minute to think about it okay
teacher,remember it s not just a yes or no answer
student,i know
student,this ones not
teacher,yes you can go get one of yours over there and one of mine over there okay alright i see a lot of you have checked to see if they actually do equal each other by multiplying so i m gonna throw in a little challenge for you you might of already multiplied 6 times 9 what did you get
multiple students,54
teacher,okay you might of already multiplied 3 times 18 what did you get
multiple students,54
teacher,so does 6 times 9 equal 3 times 18
multiple students,yes
teacher,alright your challenge is you already know they equal each other but if you look at the numbers that are up there and try to think about the relationship between the 6 times 9 and the 3 times 18 do you think you could of figured out my question without multiplying at all
student,um kind of i think
teacher,student s how what would you of done
student,inaudible
teacher,you could of what
student,divide it
teacher,we re not dividing honey we re multiplying what are you dividing that s okay let her finish what are you dividing
student,uh 6 inaudible
teacher,is there any of these numbers up here that you are dividing no okay
teacher,student k
student,uh the first 2 numbers the 3 and the 6 in each problem
teacher,okay so student k is noticing we have a 6 and we have a 3 what s the relationship between the 6 and the 3
student,uh they re multiples of 3
teacher,they re both multiples of 3 okay
student,and the 9 and the 18 are both multiples of 9 so like the 6 and the 6 is going down and turning into 3 but it s minusing three and the 9 is doubling so it s going 18
teacher,okay so i heard you use the word doubling so we see that the 9 has doubled to get to 18 is that correct
multiple students,yes
teacher,well if the 9 doubled to get to 18 what happened to the 6 to get to 3
student,it minused it minused three
teacher,you could say we subtracted 3 what else could we say how could we get from a 6 to a 3
student,divide by 2
teacher,divide by 2 which i think where student s was starting to go with this yes and if we divide something in 2 we can also say we re cutting it in
multiple students,half
teacher,good half so this one was halved halved okay so it looks like one of my factors was doubled and one of my factors was
student,lowered
teacher,how was it lowered
student,halved
teacher,it was halved so one of my factors one of my factors was halved and that s going to help me get the same answer okay so here s your job right now with your partner i want you to come up with a story problem realistic and interesting for 6 times 9
teacher,that s it that s not it there s a second part to this after you come up with your story problem for 6 times 9 with your partner you can work together okay after you come up with your story problem for 6 times 9 i want you to think of a way that in your story problem something has changed student p the situation somehow has changed that now instead of multiplying 6 times 9 something happened so now we re actually multiplying 3 times 18 so it s a little bit tricky you want me to review it again
multiple students,yes
teacher,okay so it s easy enough to come up with a story problem for 6 times 9 yes
multiple students,yes
teacher,i know you guys can do it cause i ve seen you do it before that s your first step once you have that done and you know what s happening in your story that you have 6 and a 9 something in your story has to change the situation has to change so now instead of 6 what happened that you only have 3 but you re not gonna just say oh i just decided to cut my 3 in half my 6 in half something in your story has to change okay so that you only have 3 and then an 18 so you re going to have to half and double but in your story the situation you talk about is going to change first you want me to give you an example
multiple students,yes
teacher,okay what if i said at the circus there were 6 clowns coming on to the stage each of those clowns were going to juggle 9 balls but right before the show 3 of the clowns got sick so only 3 clowns you could say half of the clowns got sick so only 3 clowns actually came out on stage and they still had to juggle all those balls so now each of those 3 clowns were juggling 18 balls instead of 9
student,oh
teacher,okay do you see how my situation started with 6 clowns each having 9 balls something happened my situation changed so now i only have 3 clowns
student,18
teacher,the same amount of balls but now they re all gonna have more they re each gonna have 18 so work with a partner come up with this first part it s the easy part come up with a story problem to go with 6 times 9 realistic and interesting then start to talk about how your situations could change to become 3 times 18 okay i ll be walking around to help you and then we ll be sharing alright any questions
student,no
teacher,student m
student,do we have so we have to do like 2 story problems
student,no one
teacher,it s kind of like 2 story problems that come together
student,and does it have to have a question
teacher,absolutely all of our story problems end in a question
student,do we have to solve it
teacher,yes you do have to solve it student c why don t you take a desk and go over and join student r and d they ll fill you in on what we re doing
student,both of us doing one
teacher,yes you work with your partner you re each doing one you work on it together
student,so we write the same one
teacher,you can each write it in your note books but you can have the same exact problem as your partner okay alright so get to work alright so the first thing we have to do is come up with some sort of idea right
student,we both said puppies at the same time
teacher,puppies at the same time okay so how many puppies do you have
student,6
teacher,6 puppies and what about each of those 6 puppies
student,they had 9 toys
teacher,each puppy has 9 toys okay now remember about the interesting part where are the puppies what are they doing okay
student,inaudible
teacher,she s not here today are you working with student m
student,it s hard
teacher,it s not supposed to be inaudible look at me part of this activity is working with people so i want you to turn your body and work with student m on this okay looks like you re already starting maybe you could share what you re already starting okay go ahead
student,i started off thinking about inaudible
teacher,you need to keep talking with her though okay i want you to do this together alright yes student s
student,i need a notebook
teacher,you can just barrow a piece of paper from one of them today okay are you two working together
student,uh huh
teacher,remember you re coming up with the same problem
student,oh we have to do the same problem
teacher,yeah
student,oh
teacher,um friends part of this activity just so that you know is working with someone some groups are doing an awesome job i see you talking i see you sharing that wonderful some groups aren t working together quite yet so now s a good time you should be facing your partner you should be sharing ideas you should be helping each other out okay
student,ms inaudible had 6 inaudible
student,what is it called inaudible
teacher,how are we doing over here nice so what do we have so far
student,i have one
teacher,you have one uh oh it s not supposed to be just you you re supposed to work together
