speaker,cleaned_text
teacher,all right students okay guys so we re gonna work on patterns and decimal division okay everybody was okay with homework last night
multiple students,yes
teacher,yes all right let s go to page 188 just to review quickly student a i m gonna get you to press the alt button for me so this can turn off thank you press it two times okay thank you all right is everybody there
multiple students,yes
teacher,all right you all remember yesterday we were talking about follow the decimal point
multiple students,yes
teacher,yes okay so we re gonna pick up with that we re gonna do some examples of following the decimal point and we ll go with number five we ll start with number five on 189 is everybody with me
multiple students,yes
teacher,all right yes
student,i wanted to do this problem
teacher,okay i m going to i m going to write it up and then i ll just call on you okay number five what do you see in number five what does this say
multiple students,seven times three equals 21
teacher,okay seven times three equals 21 okay everyone already knows that seven times three equals 21 correct
multiple students,yes
teacher,yes okay now we follow that decimal point now we talked about with whole numbers there is a decimal point in the number isn t there
multiple students,yes
teacher,that we don t usually write when we re writing whole numbers and when we re dealing with whole numbers there is a decimal point so in the number seven where is the decimal point
multiple students,behind the seven
teacher,okay so there is a decimal point right there right
student,yes
teacher,and in the number three where s the decimal point
multiple students,behind the three
teacher,there s a decimal point here and in the number 21
multiple students,behind the one
teacher,there s a decimal point there okay now the second the second part of this problem says seven tenths times three right make sure that you write this please seven tenths times three equals now if you re following the decimal point we can see that the decimal point is in the whole number seven has moved hasn t it in seven tenths it has moved one place to the
student,right
teacher,to the
multiple students,left
teacher,left correct so in patterns and multiplication they want you to understand that your answer is still going to be the same correct well the decimal point will move what one place to the
multiple students,left
teacher,left in your answer so seven tenths times three is now i m sorry seven times three is 21 so seven tenths times three is what
multiple students,inaudible
teacher,this is two and one tenths right or written 2 1 but two and one tenths all right does everybody see that pattern
multiple students,yes
teacher,does everybody see that pattern all right now the next one says seven hundredths times three yes
multiple students,yes
teacher,seven hundredths times three follow the decimal point okay so the decimal point was here in the whole number seven behind the number seven right and then it moved one place to the left and it was seven tenths right now it moves one more place to the left and now we have seven hundredths so in our answer the decimal point will move also the same number of decimal places correct
student,yes
teacher,all right so since now the decimal point from here it has gone from here it moved one place here now two places here correct
multiple students,mm hmm
teacher,so now it s going to move two places in our answer so now the decimal point has gone from here moved one place again and one place again to here so now our answer for this is 21 hundredths correct
student,yeah
teacher,21 hundredths does that make sense to everyone
multiple students,yes
teacher,does everyone see the pattern
multiple students,yes
teacher,all right so that s patterns but let s say what if i can t really see that pattern what if i can t see the pattern what would i do student d
student,multiply inaudible
teacher,okay so i could just set up my multiplication problem if this is seven tenths times three but i can t see this pattern i m having a difficult time seeing that decimal point move so i would just set up my problem zero and seven tenths times three all right now we know that three times seven is still 21 right three times seven is 21 but we can we can multiply it out like this three times seven is 21 and then write your one and carry your two right three times zero is
multiple students,zero
teacher,zero and then you have a two there so we still end up with the same 21 don t we but we might maybe we can see three times seven is 21 can you all see that three times seven is 21 anyway
multiple students,yes
teacher,all right now just like we learned last week just count the decimal places how many decimal places are here
student,one
teacher,just one so one decimal place and my decimal goes here two and one tenths so if i could not see the pattern here is it okay to still just multiply it and get the answer is that okay
student,yes
teacher,yes student c i need to see some notes being taken is there anyone who s having any trouble with that at all does everyone understand that
multiple students,yes
teacher,all right we re going to skip to let s do number seven then let s do number seven because everybody might not know 26 times four off the top of their head everybody might not know that one although you might know 25 times four you should know 25 times four right 25 times four is what
student,100
teacher,100 so 26 times four is
multiple students,104
teacher,104 cause that s just an extra four isn t it all right so 26 times four go ahead and write 26 times four equals 104 26 times four equals 104 and once again we re going to follow that decimal point so the first problem is two and six tenths times four and what does that equal don t say it out loud just thinking just for a moment we re following the decimal point we have a decimal point right here it says two and six tenths correct now right here the decimal point is right there originally correct in the whole number 26 we just don t write the decimal all right the decimal point is going o move one place to the left and that s how we get two and six tenths correct
multiple students,yeah
teacher,so that means if you look here at our answer the answer is going to still be 104 but the decimal point is going to do what
multiple students,move
teacher,move what
student,one space to the left
teacher,one place to the left 10 and what four tenths 10 and four tenths here so you all can see that two and six tenths times four 10 and four tenths just watching what the decimal point watching the decimal point move decimal point moves one place to the left here one place to the left here since it moved one place to the left here it s also gonna be one place to the left in your answer everybody got that
multiple students,yes
teacher,now what if i could not see that there s another alternative you can just multiply it like this right if you can t see the pattern then go ahead and multiply it what is four times six
multiple students,24
teacher,all right and i write my four and carry the
multiple students,two
teacher,all right and four times two is
multiple students,eight
teacher,plus two
multiple students,10
teacher,okay there s my 104 and how many decimal places do you see here
multiple students,one
teacher,only one so i need one decimal place also in my answer 10 and four tenths 10 and four tenths i got the same answer both ways didn t i
student,yes
teacher,yes since your math class is not meeting do you have math you re working on not student e if you re following along with us then i mean that s fine if you re following along with us i would take advantage of the time though and do accelerated math okay now the next one says 26 hundredths times four correct
multiple students,yes
teacher,26 hundredths times four all right look at what the decimal point has done from the initial problem 26 times four the decimal point has now moved how many places
multiple students,two
teacher,two places to the
multiple students,left
teacher,two places to the
multiple students,left
teacher,left student c is that what you re writing that it s moved two places to the left okay now since the decimal point moved two places to the left from the original problem and my original answer was 104 that means that in my in my answer or in my product the decimal point must also move what
multiple students,two places
teacher,two places to the
multiple students,left
teacher,left so my answer here is one and
multiple students,four hundredths
teacher,one and four hundredths right i see that any questions student a do you understand
student,yes
teacher,student i you got it
student,yes
teacher,yes everybody was okay with the homework correct
multiple students,yes
teacher,yes
student,yes
teacher,all right and in the black basket underneath my desk student a grab the homework from last night please
student,inaudible
teacher,yes that s fine you got it there mm hmm now now while he s passing that guys we re going to move on to look at some patterns in the division okay so let s look at number eight look at number eight you re okay to walk it s okay
student,inaudible
teacher,oh okay all right let s look at the division number eight everyone is everyone there
multiple students,yes
teacher,all right what does that problem say
multiple students,50 divided by 25 equals two
teacher,okay 50 divided by 25 equals two all right so now instead of multiplication this is division correct
student,yes
teacher,okay now let s say if that was a related multiplication problem what multiplication problem give me a related multiplication fact for 50 divided by 25 equals two student a
student,25 times inaudible times two equals 50
teacher,very good okay so he said 25 i m gonna draw a line here 25 times two equals 50 you all agree that that is a related multiplication fact for this division fact
multiple students,yeah
teacher,what is another related multiplication fact for this division fact student j
student,two times 25 equals 50
teacher,two times 25 equals
student,50
teacher,50 good job student j okay does everyone agree that this is a related multiplication fact for this division fact
multiple students,yes
teacher,okay now we have next five divided by two and five tenths and they ve written five with a decimal point oops they didn t give us an answer did they i m already writing the answer okay now let s look at the differences that we see here we see 50 divided by 25 equals two right now look at this now we ve got five divided by two and five tenths no answer yet however what do you notice between these two what do you notice about these two anybody at this group can tell me something you notice about these two division problems student r
student,inaudible
teacher,they re what
student,inaudible
teacher,they have something in common but what is it what is it that they have in common these two student a
student,the decimal the decimal behind the 50 inaudible
teacher,the imaginary decimal he s saying here is behind the 50 and here of course it s behind the 25 right the imaginary decimal so what what do you notice about these two problems
student,they re equal
teacher,he said they re equal
student,yeah inaudible
teacher,you all agree with that
multiple students,yeah
teacher,he said they re equal okay student j what do you think
student,they both have decimals but in different spots
teacher,both of these have decimals but in what think about what happened to the decimal in each of these in the dividend and in the divisor what happened to the decimal point in each of these cause student a says that these are equal as in they re the same and you all agreed with that what s the deal with the decimals what s going on with the decimals student d
student,the decimal it moved one place over
teacher,the decimal point moved one place to the left in both of them in both the dividend and in the divisor right
multiple students,yes
teacher,okay the decimal point did the exact same thing in the dividend and in the
multiple students,divisor
teacher,divisor correct the decimal point did the exact same thing didn t it yes
student,yeah
teacher,all right so one place to the left each time correct all right now if we think about for example like we related these multiplication facts to this let s relate let s look at the related multiplication facts for a second without the product what is well actually we need to go ahead and try to figure out this answer first you know what is the answer for five divided by two and five tenths
student,two
teacher,student a says two raise your hand if you agree with two
teacher,i see one person that doesn t agree with two oh two people that don t agree with two that you think it s student e do you agree with two yes
student,inaudible the division inaudible decimal so you would have to move the decimal to the right inaudible to the right then you can divide so it s going to be equal
teacher,and also he said it s going to be equal and all of you agree with two also if i if i change the same thing in each one i really change nothing correct
multiple students,yeah
teacher,which explains why my quotient or my answer would be the same if i change the same thing i change the i ve done the exact same thing to both the dividend and the divisor then my answer is still the same now let s look at this problem let s look at this as a problem that we would work out this is how you would set up the problem correct
multiple students,yes
teacher,we know that first that first number represents the dividend it always goes up under the bracket okay now in our divisor we cannot have a what
student,decimal
teacher,decimal all right so we would remove this decimal basically by multiplying by 10 that s how we get rid of that decimal but we re gonna just take our decimal and move it one place to the
multiple students,right
teacher,right this is why you all worked on in class the patterns remember the patterns with the zeros when you were multiplying by 10 100 1 000 and all of that so that you would know understand what happens when you multiply by 10 the decimal point moves one place to the right each time so if i want that decimal point to move one place to the right i need to multiply by 10 so now my decimal point is here isn t it so this is actually 50 divided by 25 notice that it is back to the same original problem isn t it and that s why i end up with the same answer of two all over again now give me related multiplication facts for this division fact related multiplication facts you re seeing here for this division fact
student,inaudible
teacher,would you say it out loud nice and loud and say it again please
student,inaudible
teacher,okay right here i ve got five divided by two and five tenths so you re telling me to just put a multiplication sign here i need a related multiplication fact for this my dividend becomes my product doesn t it right so i shouldn t i shouldn t hear you saying five first say it again student y
student,inaudible times five inaudible
teacher,does it does it i would say you need to check that on your paper and also you need to look at the related multiplication facts that we did for the top everything should still be in this exact same order so if 50 is the product here that means 5 0 should be the product correct everyone
multiple students,yes
teacher,shouldn t 5 0 be the product and also since five five which i m saying 5 0 is five and zero tenths but five since 5 0 is the dividend that means that 5 0 is the product now give me a related multiplication fact we ve already done it i m gonna draw a squiggly line here because that matches with that we need a related multiplication sentence that matches with this student g
student,2 5 times two
teacher,two and five tenths times two equals
student,5 0 you could go with that
teacher,we can go with that give me another one please student s we ve got two and five tenths times two equals five what other multiplication fact can you get out of this i think about the commutative property that i learned back in third grade 25 times two and then all i do is flop flip flop the factors and i get two times 25 so what is another related multiplication fact here
student,two times inaudible
teacher,did i just say to flop the factors why are you going over here and grabbing the product can my product become the factor
multiple students,no
teacher,so like here i ve got 25 times two equals 50 can i then say that 50 times two equals 25
multiple students,no
teacher,your product can t become one of your factors so we have two and five tenths times two is five right give me a related multiplication fact give me another fact that belongs in that family
student,inaudible
teacher,actually that s not 25 though what is that
student,2 5
teacher,equals what
student,inaudible
teacher,there your product should not change should it
student,no
teacher,that shouldn t change so this is matching with that another squiggly line there right
multiple students,yes
teacher,all right now we ve got what 50
student,inaudible divided by inaudible times 25
teacher,50 hundredths divided by 25 hundredths right 50 hundredths divided by 25 hundredths equals now look at what we see here again look at what we see in the pattern what do we notice about our original problem and this problem what do we notice what do we see about this decimal point what happened in the dividend what happened in the divisor what do we see student j
student,the decimal is moving over to the left
teacher,how many places student e
student,two
teacher,two places does everybody agree the decimal point has moved two places in the dividend and in the divisor
student,yes
teacher,right so since we ve changed the same thing in both the dividend and the divisor we have really changed what
multiple students,nothing
teacher,nothing we ve changed nothing we ve changed the same thing in both so we ve really changed nothing it s the same which means that the quotient is the same so the answer is what
student,two
teacher,two now i can set up my problem zero and 25 hundredths into zero and 50 hundredths we know that we cannot have a decimal in the in the divisor right using our math vocabulary we can t have a decimal in the divisor right student j
student,yes
teacher,all right now so really in order to get rid of this decimal point i need to multiply by 100 now i can take each of these numbers and multiply by 100 but if i remember back in the last chapter when we were doing patterns multiplying by 10 multiplying by 100 multiplying by 1 000 you all remember that
multiple students,yes
teacher,when you multiply by 100 that means your decimal point moves
student,two places
teacher,two places to the right so i can use mental math to multiply this decimal by 100 that just means i move this decimal point two places to the right and now my decimal point is here and i move it two places to the right here and my decimal point is here as long as i do the same thing in the dividend and in the divisor it is okay you can t multiply the divisor by 100 and don t multiply the dividend by 100 you can t do that but if you multiply both by 100 you still have an equal problem the problem is still the same got it well look now that i ve multiplied it by 100 i am back to my original problem which explains why my quotient is the
multiple students,same
teacher,same you just got 50 divided by 25 and that s two right two times 25 50 and we can see why that is two two two does that make sense with everybody
student,yes
teacher,can everybody see this pattern in decimal division
student,yes
student,yes
teacher,does anybody need more clarification on the pattern
multiple students,no
teacher,decimal division okay now let s look at homework with our eyes and our writtens our eyes and our writtens key work writtens
teacher,student e it is a check if i see you inaudible so you understand i have said what you re supposed to be doing those of you who are not meeting in your own math class today all right very clear on that you may participate with us or you may do your own math but that s it those are your only two options what did you say
student,are you gonna do are we gonna do inaudible
teacher,see that in front of you
student,no but inaudible
teacher,well i don t know where yours is inaudible none of you got your papers back
multiple students,yes
teacher,oh okay now your paper says you can use multiplication and patterns to help you with decimal division we agree with that right
multiple students,yes
teacher,we see here multiplication 25 times five is 135 two and seven tenths times five is 13 and five tenths 27 hundredths times five us one and 35 hundredths does everyone see how the decimal point has moved
multiple students,yes
teacher,as the number of decimal places in the factor increases the number of decimal places in the product increases now division on the division side got a dividend divided by a divisor equals a quotient correct i want everybody to make sure that you see the vocabulary that they re showing you right like that excuse me back to the multiplication again you got factor times factor equals product correct
multiple students,yes
teacher,everybody say factor times factor equals product
multiple students,factor times factor equals product
teacher,okay factor times factor always equals product this is the same thing even when you re doing decimals when you re doing decimal division it s still the same thing it s still factor times factor equals product just because it s a decimal doesn t change that does it now division dividend divided by divisor equals quotient just because there s a decimal point doesn t change anything it s still dividend divided by divisor equals quotient so we have 135 divided by 27 equals five 13 and five tenths divided by two and seven tenths equals five we see the decimal point move one place to the left correct all right and then we see one and 35 hundredths divided by 27 hundredths equals five also the decimal point moved two places to the left does everyone see that and it moved in both the dividend and in the divisor that s why your quotient is still the same each time does everybody see that
multiple students,yes
teacher,yeah your eyes should be there make sure that you understand that if the number of decimal places in the dividend and the divisor increased equally then the quotient will remain the same key word equally equally highlighted or underlined the key word is equally i ll say that again if the number of decimal places in the dividend and the divisor increased equally then the quotient will remain the same any questions
student,no
teacher,all right complete each multiplication pattern and each division pattern we ve got nine times four equals 36 nine times nine tenths times four equals three and six tenths so what is nine hundredths times four
student,36 hundredths
teacher,excuse me excuse me student j what s the problem
student,inaudible
teacher,but i believe student j are you checking along with us are you student j
student,who me
teacher,are you checking along with us student j should you be all right nine hundredths times four is student y
student,inaudible
teacher,how do you read that number how do you read the number student y i m calling on you for an answer today please huh say it again
student,36 hundredths
teacher,36 hundredths everybody got that there it is on the board so that is what your answer should look like 36 hundredths any questions is that a question is your hand up for a question yes
student,inaudible
teacher,it can be written just like that could be written just like that because if this is money that s like saying i have zero dollars and 36 cents that s fine so either way it s still zero in one we have an imaginary zero basically right all right still on number one related division facts 36 divided by nine is four three and six tenths divided by nine tenths is four 36 hundredths divided by nine hundredths is student c
student,four
teacher,four four are there any questions everyone understands that student a do you understand that
student,yes
teacher,yes all right number two 15 times three equals 45 one and five tenths times three equals 45 15 hundredths times three equals student j
student,inaudible 35 inaudible
teacher,say it again
student,wait
teacher,and that is a check for us having to wait on off task behavior i ll come back to you student s
student,45 hundredths
teacher,45 hundredths 45 hundredths any questions and you have that written right on your paper next 45 divided by 15 equals three four and five tenths divided by one and five tenths equals three 45 hundredths divided by 15 hundredths equals student j
student,three
teacher,three student j you all do see in the division that the number of decimal places in the dividend and the divisor increased equally therefore the quotient was the same everybody see that
student,yes
teacher,yes all right number three 32 times six is 192 three and two three and two tenths times six equals student d
student,19 and two hundredths
teacher,19 and say it again
student,two hundredths
teacher,is it like this this is two hundredths
student,19 and inaudible
teacher,which is 19 and two what
student,tenths
teacher,tenths 19 and two tenths good 32 hundredths times six is student j
student,inaudible wait no
teacher,sit there for a moment on that side please say it again
student,one and 92 hundredths
teacher,one and 92 hundredths one and 92 hundredths any questions
student,no
teacher,all right very good student j 192 divided by 32 equals six 19 and two tenths divided by three and two tenths equals we know that the number of decimal places in the dividend and the divisor increased equally so the answer there is what student s
student,six
teacher,six the quotient is the same right
student,yes
teacher,one and 92 hundredths divided by 32 hundredths equals
student,six
teacher,student j
student,six
teacher,you got esp you answered before i even called her name six very good any questions
student,no
teacher,number four coming your way student i 35 times five equals 175 three and five tenths times five equals
student,17 inaudible
teacher,17 and five tenths very good 17 and five tenths 35 hundredths times five equals student j
student,it equals five
teacher,oh stay focused listen again 35 hundredths times five equals
student,1 75
teacher,which is one and 75 hundredths
teacher,you were on the wrong one yes you are so right that you were wrong 175 divided by 35 equals five 17 and five tenths divided by three and five tenths equals student e
student,five
teacher,five one and 75 hundredths divided by 35 hundredths equals student g
student,equals student g
student,five
teacher,five equals student g
teacher,you saved him yes thank you for staying on task student g 28 times three equals stay over there please stay over there please at the door stay at the door please thank you i m going back to student y 28 times three equals
student,84
teacher,84 very good two and eight tenths times three equals student s
student,eight inaudible
teacher,i want you to say it correctly
teacher,eight and four tenths 28 hundredths times three equals student c
student,eight point four tenths
teacher,oh eight point four tenths i need 28 hundredths times three 28 hundredths times three student c he said 0 84 but that is what
multiple students,84 hundredths
teacher,84 hundredths very good on to the last one number six 42 times seven is student d
student,inaudible
teacher,i need 42 times seven
teacher,40 oh is that why she s saying that okay that s why you ve got to be listening to me then okay i m sorry related division say 84 divided by 28 equals
student,three
teacher,three very good 84 tenths divided by two and eight tenths equals
multiple students,three
teacher,three it s the same 84 hundredths divided by 28 hundredths equals
multiple students,three
teacher,okay everybody together please for number six 42 times seven
multiple students,294
teacher,four and two tenths times seven
multiple students,29 4
student,29 point four tenths
teacher,no not 29 point four tenths 29 and four tenths okay say it correctly for me please 42 hundredths times seven
multiple students,two and 94 hundredths
teacher,two and 94 hundredths and all together for the last one 294 divided by 42
multiple students,seven
teacher,shh it s just seven actually just seven okay 29 and four tenths divided by four and two tenths
multiple students,seven
teacher,and two and 94 hundredths divided by 42 hundredths
multiple students,seven
teacher,seven how did we do
teacher,inaudible at the top do not move yet we re about to dismiss and we re gonna dismiss quickly
